satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
11.0,2025-05-23T16:52:35.737471,2025-04-22T12:54:25,1745326465.0,2.783253,47.57,333.92,vehicle_01,41.96001,69.77,1.0,2025-04-22 12:54:25,170.45986880243598,7.0,87.66507538410994
11.0,2025-05-23T16:52:35.742604,2025-04-22T12:54:32,1745326472.0,2.782302,47.08,332.88,vehicle_01,41.96139,69.3,1.0,2025-04-22 12:54:32,172.42333017952365,7.0,88.67485552089788
11.0,2025-05-23T16:52:35.747919,2025-04-22T12:54:40,1745326480.0,2.781226,47.4,335.44,vehicle_01,41.96293,71.07,1.0,2025-04-22 12:54:40,192.97233719726177,8.0,86.8375517387678
11.0,2025-05-23T16:52:35.753095,2025-04-22T12:54:48,1745326488.0,2.780284,47.05,336.93,vehicle_01,41.96453,72.1,1.0,2025-04-22 12:54:48,194.21326425166208,8.0,87.39596891324794
12.0,2025-05-23T16:52:35.758407,2025-04-22T12:54:55,1745326495.0,2.779598,45.66,340.71,vehicle_01,41.96591,69.33,1.0,2025-04-22 12:54:55,163.5955681917694,7.0,84.1348636414814
11.0,2025-05-23T16:52:35.763443,2025-04-22T12:55:03,1745326503.0,2.779028,43.88,347.29,vehicle_01,41.96747,67.63,1.0,2025-04-22 12:55:03,179.75162856868593,8.0,80.88823285590867
12.0,2025-05-23T16:52:35.768654,2025-04-22T12:55:10,1745326510.0,2.77869,43.01,350.91,vehicle_01,41.96884,70.93,1.0,2025-04-22 12:55:10,154.87884739673774,7.0,79.65197866117941
11.0,2025-05-23T16:52:35.774137,2025-04-22T12:55:17,1745326517.0,2.778472,43.55,354.67,vehicle_01,41.97023,69.1,1.0,2025-04-22 12:55:17,155.60818964131062,7.0,80.02706895838833
12.0,2025-05-23T16:52:35.779392,2025-04-22T12:55:25,1745326525.0,2.778334,44.29,358.05,vehicle_01,41.97186,69.81,1.0,2025-04-22 12:55:25,181.60643586139057,8.0,81.72289613762575
12.0,2025-05-23T16:52:35.784653,2025-04-22T12:55:32,1745326532.0,2.778367,44.12,2.19,vehicle_01,41.9733,70.82,1.0,2025-04-22 12:55:32,160.14393296341183,7.0,82.3597369526118
12.0,2025-05-23T16:52:35.789786,2025-04-22T12:55:40,1745326540.0,2.778549,42.7,5.78,vehicle_01,41.97491,74.63,1.0,2025-04-22 12:55:40,179.65494509305313,8.0,80.84472529187391
12.0,2025-05-23T16:52:35.795169,2025-04-22T12:55:47,1745326547.0,2.778811,45.28,7.88,vehicle_01,41.97636,73.22,1.0,2025-04-22 12:55:47,162.6808247340327,7.0,83.66442414893112
